E:\anaconda3\envs\CRL\lib\site-packages\wandb\sdk\lib\import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
global_step=59376, episodic_return=[3604.9775]
global_step=59528, episodic_return=[89.66266]
global_step=62624, episodic_return=[2071.9788]
global_step=62792, episodic_return=[94.46893]
global_step=63280, episodic_return=[2158.8948]
global_step=63680, episodic_return=[7241.825]
global_step=63752, episodic_return=[32.65283]
global_step=63888, episodic_return=[53.679283]
global_step=64112, episodic_return=[132.2402]
global_step=64320, episodic_return=[525.28937]
global_step=64752, episodic_return=[1426.6572]

num_iterations:   7%|████████                                                                                                                   | 4/61 [02:56<41:08, 43.31s/it]
global_step=66160, episodic_return=[1075.693]
global_step=67376, episodic_return=[1408.3074]
global_step=67528, episodic_return=[84.74583]
global_step=69128, episodic_return=[12037.766]
global_step=69248, episodic_return=[2959.639]
global_step=69296, episodic_return=[100.411285]
global_step=69392, episodic_return=[41.83414]
global_step=69496, episodic_return=[48.600815]
global_step=71976, episodic_return=[3167.8562]
global_step=72432, episodic_return=[2755.262]
global_step=72672, episodic_return=[203.17668]
global_step=72768, episodic_return=[44.65792]
global_step=73608, episodic_return=[857.5621]
global_step=74080, episodic_return=[2620.2913]
global_step=74472, episodic_return=[528.82434]
global_step=74600, episodic_return=[18899.02]
global_step=74728, episodic_return=[36788.98]
global_step=75536, episodic_return=[619.7458]
global_step=75608, episodic_return=[31.576975]
global_step=76160, episodic_return=[2007.2478]
global_step=76248, episodic_return=[44.63829]
global_step=76360, episodic_return=[29465.002]
global_step=76368, episodic_return=[90.9731]
global_step=76600, episodic_return=[116.52006]
global_step=76696, episodic_return=[50.204823]
global_step=76816, episodic_return=[60.08591]
global_step=77576, episodic_return=[1653.7122]
global_step=77696, episodic_return=[887.3856]
global_step=77712, episodic_return=[90.48161]
global_step=78144, episodic_return=[5000.3965]
global_step=78512, episodic_return=[3091.6843]
global_step=78624, episodic_return=[56.713516]
global_step=78880, episodic_return=[2503.119]
global_step=79160, episodic_return=[275.98303]
global_step=79456, episodic_return=[1021.9723]
global_step=79648, episodic_return=[104.93864]
global_step=79744, episodic_return=[57.30954]
global_step=80672, episodic_return=[2059.1936]
global_step=80760, episodic_return=[40.97011]
global_step=80920, episodic_return=[90.202736]
global_step=81000, episodic_return=[39.714848]
SPS: 374

num_iterations:   8%|██████████                                                                                                                 | 5/61 [03:38<39:57, 42.82s/it]
global_step=82712, episodic_return=[3015.4795]
global_step=84496, episodic_return=[6372.075]
global_step=84568, episodic_return=[1474.7462]
global_step=84704, episodic_return=[80.81426]
global_step=85064, episodic_return=[406.32895]
global_step=85192, episodic_return=[64.86174]
global_step=85400, episodic_return=[118.663925]
global_step=85536, episodic_return=[62.575005]
global_step=85776, episodic_return=[163.90678]
global_step=86344, episodic_return=[5995.6636]
global_step=86456, episodic_return=[52.775593]
global_step=86520, episodic_return=[29.408817]
global_step=86640, episodic_return=[533.5458]
global_step=86768, episodic_return=[3121.1763]
global_step=86848, episodic_return=[37.6833]
global_step=87488, episodic_return=[545.18506]
global_step=88296, episodic_return=[3218.0615]
global_step=88640, episodic_return=[919.1269]
global_step=89464, episodic_return=[1759.7733]
global_step=90320, episodic_return=[6781.618]
global_step=91304, episodic_return=[682.3409]
global_step=91536, episodic_return=[121.56483]
global_step=91832, episodic_return=[15119.821]
global_step=92408, episodic_return=[3346.0225]
global_step=92872, episodic_return=[2737.794]
global_step=92872, episodic_return=[5214.5215]
global_step=93360, episodic_return=[3945.0242]
global_step=93832, episodic_return=[3380.7378]
global_step=94296, episodic_return=[770.6222]
global_step=95112, episodic_return=[1029.6093]
global_step=95192, episodic_return=[479.08]
global_step=95280, episodic_return=[41.86128]
global_step=95376, episodic_return=[50.245953]
global_step=95464, episodic_return=[869.51917]
global_step=95472, episodic_return=[2774.132]
global_step=95488, episodic_return=[59.45916]
